left,right,x,y,z
589,311,3,0.369873,0.054932,-10.112915
587,313,3,0.459595,0.103760,-10.081177
584,316,3,0.469360,-0.035400,-10.194092
585,315,3,0.439453,0.067749,-10.283813
583,317,3,0.455933,-0.010986,-10.266113
583,317,3,0.456543,-0.039062,-10.273438
585,315,3,0.435181,0.057983,-10.196533
584,316,3,0.411987,-0.039673,-10.173340
586,314,3,0.448608,0.053711,-10.045166
585,315,3,0.395508,0.042114,-10.273438
584,316,3,0.493164,-0.031128,-10.215454
585,315,3,0.480347,0.077515,-10.378418
583,317,3,0.492554,-0.015259,-10.112305
584,316,3,0.431519,0.054321,-10.056763
583,317,3,0.474854,0.083008,-10.034180
580,320,3,0.369873,-0.050659,-10.142822
581,319,3,0.559692,0.116577,-10.408325
578,322,3,0.462036,0.046997,-10.335083
576,324,3,0.532227,-0.007935,-10.308838
576,324,4,0.335693,0.034180,-10.256348
574,326,4,0.476074,-0.014648,-10.243530
574,326,4,0.382080,-0.024414,-10.230103
575,325,4,0.507812,-0.068359,-10.201416
577,323,4,0.386963,-0.026245,-10.214233
578,322,4,0.561523,0.048218,-10.257568
577,323,4,0.429077,-0.076294,-10.144653
579,321,4,0.453491,-0.027466,-10.292969
580,320,4,0.358887,-0.005493,-9.929199
581,319,4,0.385132,-0.050049,-10.006714
583,317,4,0.319824,0.001221,-9.937134
584,316,4,0.391846,0.025635,-10.070801
584,316,4,0.342407,0.087280,-10.198975
582,318,4,0.402222,0.033569,-10.302734
580,320,4,0.396118,0.008545,-10.224609
579,321,4,0.344849,0.012817,-10.054932
578,322,4,0.384521,-0.016479,-10.021362
579,321,4,0.374756,0.054321,-10.070801
577,323,4,0.444336,0.092773,-10.202637
574,326,4,0.433350,0.029297,-10.216675
572,328,4,0.476074,-0.043335,-10.239258
573,327,4,0.397949,-0.023193,-10.153809
574,326,4,0.548706,0.022583,-10.349121
574,326,4,0.512085,0.004883,-10.389404
575,325,4,0.553589,-0.019531,-10.241699
576,324,4,0.462646,-0.042725,-10.300903
578,322,4,0.390625,-0.086060,-10.028076
581,319,4,0.315552,-0.038452,-10.051880
583,317,4,0.331421,0.009766,-9.903564
584,316,4,0.261230,-0.010376,-9.995117
585,315,4,0.346069,0.046387,-10.068359
584,316,4,0.374146,-0.007935,-10.256348
585,315,4,0.388794,0.060425,-10.189209
584,316,4,0.371704,0.072632,-10.079956
582,318,4,0.317993,0.046387,-10.079956
580,320,4,0.471802,0.104980,-10.128174
577,323,4,0.446777,0.064697,-10.247192
575,325,4,0.502930,-0.024414,-10.243530
575,325,4,0.393066,-0.054321,-10.176392
577,323,4,0.463257,-0.013428,-10.221558
578,322,5,0.440063,0.040283,-10.289917
578,322,5,0.524902,-0.032349,-10.407104
580,320,5,0.443726,-0.072632,-10.222168
582,318,5,0.498047,0.020142,-10.227051
582,318,5,0.397339,-0.126343,-10.078735
585,315,5,0.365601,-0.048828,-10.162964
587,313,5,0.378418,0.010376,-9.830933
588,312,5,0.286865,-0.001831,-9.953003
589,311,5,0.385132,0.040894,-9.906006
589,311,5,0.382690,-0.035400,-10.176392
591,309,5,0.377197,0.061035,-10.205078
590,310,5,0.421753,0.103149,-10.153809
587,313,5,0.386963,0.052490,-10.144043
585,315,5,0.460815,0.059814,-10.114136
583,317,5,0.460815,0.023804,-10.224609
581,319,5,0.516968,-0.026855,-10.245972
581,319,5,0.405884,0.040283,-10.191040
580,320,5,0.493774,-0.067139,-10.182495
582,318,5,0.408325,0.034790,-10.236206
582,318,5,0.459595,-0.057983,-10.200195
584,316,5,0.445557,-0.070801,-10.195312
586,314,5,0.379028,0.006104,-10.036621
587,313,5,0.500488,0.018921,-10.256958
588,312,5,0.402832,0.007324,-10.356445
