left,right,x,y,z,,,dy
600,300,0.414429,0.061035,-10.194702,,,0.06897
599,301,0.515137,-0.095215,-10.337524,,,-0.15625
602,298,0.470581,0.050049,-10.266113,,,0.145264
601,299,0.499878,0.031128,-10.386353,,,-0.018921
600,300,0.410156,-0.036011,-10.003052,,,-0.067139
602,298,0.353394,0.008545,-9.92981,,,0.044556
603,297,0.29541,-0.045776,-9.84436,,,-0.054321
605,295,0.302734,0.05249,-10.025024,,,0.098266
604,296,0.343018,0.083008,-10.076904,,,0.030518
601,299,0.386963,0.007324,-10.310059,,,-0.075684
600,300,0.360107,0.125732,-10.213623,,,0.118408
596,304,0.432129,0.038452,-10.13916,,,-0.08728
594,306,0.404663,-0.056763,-10.098267,,,-0.095215
596,304,0.408325,0.122681,-10.014038,,,0.179444
592,308,0.487671,-0.029297,-10.181274,,,-0.151978
592,308,0.488281,0.075073,-10.197144,,,0.10437
589,311,0.515747,0.058594,-10.2948,,,-0.016479
587,313,0.543823,-0.106812,-10.377197,,,-0.165406
590,310,0.498657,0.03479,-10.304565,,,0.141602
590,310,0.456543,-0.004272,-10.36499,,,-0.039062
591,309,0.457153,-0.025024,-10.089722,,,-0.020752
592,308,0.370483,0.036621,-10.097656,,,0.061645
592,308,0.355835,-0.036621,-9.940186,,,-0.073242
594,306,0.282593,0.05127,-9.991455,,,0.087891
593,307,0.333252,0.030518,-9.973755,,,-0.020752
592,308,0.371094,-0.009766,-10.235596,,,-0.040284
593,307,0.330811,0.088501,-10.188599,,,0.098267
591,309,0.38208,0.047607,-10.108032,,,-0.040894
589,311,0.369873,0.054932,-10.112915,,,0.007325
587,313,0.459595,0.10376,-10.081177,,,0.048828
584,316,0.46936,-0.0354,-10.194092,,,-0.13916
585,315,0.439453,0.067749,-10.283813,,,0.103149
583,317,0.455933,-0.010986,-10.266113,,,-0.078735
583,317,0.456543,-0.039062,-10.273438,,,-0.028076
585,315,0.435181,0.057983,-10.196533,,,0.097045
584,316,0.411987,-0.039673,-10.17334,,,-0.097656
586,314,0.448608,0.053711,-10.045166,,,0.093384
585,315,0.395508,0.042114,-10.273438,,,-0.011597
584,316,0.493164,-0.031128,-10.215454,,,-0.073242
585,315,0.480347,0.077515,-10.378418,,,0.108643
583,317,0.492554,-0.015259,-10.112305,,,-0.092774
584,316,0.431519,0.054321,-10.056763,,,0.06958
583,317,0.474854,0.083008,-10.03418,,,0.028687
580,320,0.369873,-0.050659,-10.142822,,,-0.133667
581,319,0.559692,0.116577,-10.408325,,,0.167236
578,322,0.462036,0.046997,-10.335083,,,-0.06958
576,324,0.532227,-0.007935,-10.308838,,,-0.054932
576,324,0.335693,0.03418,-10.256348,,,0.042115
574,326,0.476074,-0.014648,-10.24353,,,-0.048828
574,326,0.38208,-0.024414,-10.230103,,,-0.009766
575,325,0.507812,-0.068359,-10.201416,,,-0.043945
577,323,0.386963,-0.026245,-10.214233,,,0.042114
578,322,0.561523,0.048218,-10.257568,,,0.074463
577,323,0.429077,-0.076294,-10.144653,,,-0.124512
579,321,0.453491,-0.027466,-10.292969,,,0.048828
580,320,0.358887,-0.005493,-9.929199,,,0.021973
581,319,0.385132,-0.050049,-10.006714,,,-0.044556
583,317,0.319824,0.001221,-9.937134,,,0.05127
584,316,0.391846,0.025635,-10.070801,,,0.024414
584,316,0.342407,0.08728,-10.198975,,,0.061645
582,318,0.402222,0.033569,-10.302734,,,-0.053711
580,320,0.396118,0.008545,-10.224609,,,-0.025024
579,321,0.344849,0.012817,-10.054932,,,0.004272
578,322,0.384521,-0.016479,-10.021362,,,-0.029296
579,321,0.374756,0.054321,-10.070801,,,0.0708
577,323,0.444336,0.092773,-10.202637,,,0.038452
574,326,0.43335,0.029297,-10.216675,,,-0.063476
572,328,0.476074,-0.043335,-10.239258,,,-0.072632
573,327,0.397949,-0.023193,-10.153809,,,0.020142
574,326,0.548706,0.022583,-10.349121,,,0.045776
574,326,0.512085,0.004883,-10.389404,,,-0.0177
575,325,0.553589,-0.019531,-10.241699,,,-0.024414
576,324,0.462646,-0.042725,-10.300903,,,-0.023194
578,322,0.390625,-0.08606,-10.028076,,,-0.043335
581,319,0.315552,-0.038452,-10.05188,,,0.047608
583,317,0.331421,0.009766,-9.903564,,,0.048218
584,316,0.26123,-0.010376,-9.995117,,,-0.020142
585,315,0.346069,0.046387,-10.068359,,,0.056763
584,316,0.374146,-0.007935,-10.256348,,,-0.054322
585,315,0.388794,0.060425,-10.189209,,,0.06836
584,316,0.371704,0.072632,-10.079956,,,0.012207
