left,right,x,y,z
600,700,0.446777,0.205688,-10.211182
590,700,0.513306,0.183105,-10.233765
581,700,0.494385,0.150757,-10.282593
574,700,0.498047,0.163574,-10.223999
566,700,0.473022,0.158691,-10.264893
558,700,0.543823,0.134888,-10.245972
551,700,0.524902,0.115356,-10.263672
545,700,0.444946,0.175781,-10.182495
536,700,0.533447,0.153809,-10.213013
528,700,0.487671,0.196533,-10.175781
518,700,0.545044,0.161133,-10.206909
509,700,0.454102,0.169678,-10.160522
500,700,0.496216,0.131226,-10.205078
493,700,0.476074,0.118408,-10.183105
487,700,0.490723,0.153198,-10.259399
479,700,0.493774,0.153198,-10.218506
471,700,0.513916,0.145264,-10.225830
463,700,0.421753,0.165405,-10.166016
454,700,0.501099,0.145874,-10.244751
446,700,0.501709,0.176392,-10.206299
436,700,0.492554,0.168457,-10.238647
427,700,0.515747,0.158081,-10.190430
418,700,0.504150,0.167847,-10.218506
409,700,0.484009,0.162964,-10.205688
400,700,0.592651,0.156250,-10.265503
391,700,0.477295,0.176392,-10.198975
381,700,0.535278,0.158081,-10.233154
372,700,0.488281,0.140381,-10.180054
364,700,0.495605,0.159912,-10.269165
355,700,0.471191,0.178223,-10.195923
345,700,0.443726,0.108032,-10.123901
339,700,0.444946,0.125122,-10.205688
332,700,0.507812,0.130005,-10.242310
325,700,0.432129,0.202026,-10.199585
314,700,0.498657,0.114746,-10.244141
307,700,0.508423,0.154419,-10.205688
298,700,0.543823,0.177002,-10.215454
288,700,0.513306,0.191650,-10.202637
278,700,0.478516,0.153198,-10.186768
269,700,0.521851,0.099487,-10.172729
263,700,0.519409,0.190430,-10.255127
253,700,0.512695,0.112305,-10.222778
247,700,0.444946,0.123291,-10.180664
240,700,0.017090,-0.733643,-9.797363
277,700,-0.451660,0.142822,-10.233154
270,700,0.089111,-1.142578,-9.318237
328,700,-0.495605,0.147705,-10.242920
322,700,-0.537720,-0.007935,-10.051880
323,700,-0.999756,0.069580,-10.342407
320,700,-0.422974,-0.109253,-10.187378
326,700,0.711670,-0.054321,-10.187378
330,700,0.422974,-0.141602,-10.205078
338,700,0.520020,-0.187378,-10.183716
349,700,0.484009,-0.163574,-10.195312
359,700,0.527344,-0.223389,-10.292969
372,700,0.529785,-0.151978,-10.209961
381,700,0.461426,-0.186157,-10.216064
392,700,0.424194,-0.111084,-10.201416
399,700,0.521240,-0.204468,-10.252075
411,700,0.429077,-0.170898,-10.184937
421,700,0.488892,-0.148315,-10.204468
430,700,0.474854,-0.156250,-10.216064
440,700,0.498047,-0.153198,-10.253906
450,700,0.478516,-0.192871,-10.236206
462,700,0.473022,-0.171509,-10.238647
