left,right,x,y,z
139,700,0.513916,0.125122,-10.201416
107,700,0.526733,0.177612,-10.153809
72,700,1.078491,0.881958,-7.973633
-12,700,1.275635,0.246582,-10.011597
-65,700,0.286865,-0.314941,-10.173950
-79,700,0.545654,-0.212402,-10.257568
-90,700,-1.785278,1.151733,-9.227295
-190,700,2.285156,-0.100708,-10.143433
-220,700,0.140991,-0.144043,-10.281982
-241,700,0.642700,-0.011597,-10.209961
-265,700,2.056274,-0.064087,-10.057373
-282,700,0.043945,-0.036011,-10.270386
-297,700,0.913086,-0.054321,-10.107422
-308,700,1.030884,0.294189,-10.137329
-340,700,0.586548,0.197144,-10.185547
-369,700,0.431519,0.185547,-10.219727
-399,700,0.507812,0.174561,-10.189819
-429,700,0.527344,0.171509,-10.261230
-460,700,0.487061,0.170898,-10.205078
-491,700,0.445557,0.140991,-10.178223
-521,700,0.455322,0.162964,-10.209961
-552,700,0.458374,0.181885,-10.232544
-585,700,0.484009,0.163574,-10.246582
-618,700,0.452881,0.147705,-10.232544
-650,700,0.477905,0.172119,-10.177612
-683,700,0.429688,0.164185,-10.228882
-716,700,0.509033,0.171509,-10.181274
-750,700,0.509033,0.164185,-10.240479
-784,700,0.486450,0.172729,-10.220337
-819,700,0.482178,0.195312,-10.181885
-855,700,0.488892,0.173340,-10.261230
-891,700,0.504150,0.174561,-10.260010
-927,700,0.478516,0.133057,-10.203247
-960,700,0.507812,0.155029,-10.205688
-994,700,0.505981,0.134277,-10.234985
-1027,700,0.471802,0.159912,-10.186768
-1061,700,0.483398,0.167236,-10.225830
-1096,700,0.493164,0.156860,-10.202026
-1130,700,0.451660,0.150146,-10.252075
-1164,700,0.469971,0.174561,-10.210571
-1199,700,0.496826,0.201416,-10.236816
-1236,700,0.518188,0.161133,-10.254517
-1271,700,0.493164,0.182495,-10.206909
-1308,700,0.505981,0.149536,-10.191650
-1343,700,0.494385,0.146484,-10.267944
-1377,700,0.476074,0.107422,-10.231323
-1408,700,0.497437,0.142822,-10.192261
-1441,700,0.475464,0.179443,-10.226440
-1476,700,0.494385,0.167847,-10.176392
-1511,700,0.491943,0.151367,-10.182495
-1545,700,0.513916,0.191650,-10.223999
-1581,700,0.530396,0.164795,-10.226440
-1616,700,0.472412,0.151978,-10.170288
-1650,700,0.531616,0.149536,-10.225220
-1684,700,0.505371,0.159912,-10.224609
-1718,700,0.492554,0.154419,-10.207520
-1752,700,0.462036,0.151367,-10.157471
-1786,700,0.543823,0.111694,-10.255127
-1817,700,0.474243,0.131836,-10.191650
-1848,700,0.471802,0.182495,-10.207520
-1883,700,0.510254,0.132446,-10.167847
-1915,700,0.468750,0.154419,-10.182495
-1948,700,0.502319,0.111084,-10.175781
-1978,700,0.465698,0.175171,-10.184937
-2011,700,0.459595,0.142212,-10.187988
